一级类目,一级类目ID,二级类目,二级类目ID,三级类目,三级类目ID,关键词,ID,状态,推荐,来源
家具,9847,客厅家具,9849,沙发,9870,精品家具,5d01e82005b75268,停用,普通,品牌词
家具,9847,餐厅家具,9850,餐桌,9877,韩式餐桌,9d23154edbde986b,停用,普通,品牌词
家具,9847,书房家具,9851,书柜/书架,9881,整体书柜,57977b0e1e8e7a35,停用,普通,品牌词
电脑、办公,670,电脑配件,677,显示器,688,液晶拼接屏,4083987ef4fbb891,停用,普通,品牌词
厨具,6196,厨房配件,6214,厨房DIY/小工具,11978,磨刀机,0b98169d00222bd4,停用,普通,品牌词
家装建材,9855,装饰材料,9861,窗,9940,中空玻璃,4d1bf65e842d2b22,停用,普通,品牌词
鞋靴,11729,流行男鞋,11730,休闲鞋,6908,流行男,db1d6c433970f467,黑名单停用,普通,品牌词
食品饮料,1320,粮油调味,1584,方便食品,2679,炖牛肉,ee15b14bf0156198,停用,普通,品牌词
食品饮料,1320,饮料冲调,1585,牛奶乳品,9434,香蕉牛奶,643d4744bffadd6b,停用,普通,品牌词
美妆个护,1316,面部护肤,1381,面膜,1392,酸奶面膜,815eda0859cd41af,停用,普通,品牌词
食品饮料,1320,粮油调味,1584,调味品,2677,鸡汤,6df23ad6a309faca,停用,普通,品牌词
美妆个护,1316,清洁用品,1625,清洁工具,1667,电动扫地机,b970a4510a684dd1,停用,普通,品牌词
食品饮料,1320,休闲食品,1583,熟食腊味,13757,驴肉,bd68942fea7dc8ec,启用,普通,品牌词
服饰内衣,1315,女装,1343,中老年女装,9721,妈妈套装,6228d69ab3a558ef,启用,普通,品牌词
珠宝首饰,6144,时尚饰品,6182,发饰/发卡,6192,盘发,5185651bec40564f,启用,普通,品牌词
运动户外,1318,垂钓用品,12147,钓竿,12148,垂钓,4daa8ebcc511c74c,启用,普通,品牌词
运动户外,1318,健身训练,1463,瑜伽用品,12114,瘦身瑜伽,c63b48f70a26da9a,启用,普通,品牌词
运动户外,1318,户外装备,1462,冲浪潜水,12146,潜水,8db6454bd9310abd,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,高跟鞋,9772,红色高跟鞋,0fc03c3bc0952689,启用,普通,品牌词
农资绿植,12473,花卉绿植,12480,绿植盆栽,12517,水生植物,a8a13feb465ccafb,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,装饰摆件,11166,家居装饰,17e88200ecf7c082,启用,普通,品牌词
家装建材,9855,墙地面材料,9860,涂刷辅料/胶类,11959,瓷砖填缝剂,9f5bc2672a9fd41e,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,装饰摆件,11166,创意家居饰品,1305201ca151730a,启用,普通,品牌词
汽车用品,6728,维修保养,6742,添加剂,11850,柴油,57c1057b118cf110,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,套装,1396,日本护肤品,97c306f1c0bd3229,启用,普通,品牌词
礼品箱包,1672,鲜花速递,14227,鲜花,14234,花束,82355ddd79a833dd,启用,普通,品牌词
珠宝首饰,6144,木手串/把件,12041,菩提,12051,菩提根,4a99271b420d1005,启用,普通,品牌词
玩具乐器,6233,益智玩具,6271,魔方,14211,四阶魔方,afb26d7edabd3335,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,高跟鞋,9772,女高跟鞋,eeadaf85eafa0ab7,启用,普通,品牌词
珠宝首饰,6144,翡翠玉石,6167,项链/吊坠,6168,糯种翡翠,a3aca0512f8f207d,启用,普通,品牌词
家用电器,737,厨房小电,752,多用途锅,754,小火锅,aa3f83c8b51dd9f0,启用,普通,品牌词
母婴,1319,童鞋,14941,皮鞋,14946,儿童高跟鞋,e84f1dfab8f49c0a,启用,普通,品牌词
电脑、办公,670,文具/耗材,729,学生文具,1449,地球仪,45916fd05228eb90,启用,普通,品牌词
母婴,1319,安全座椅,12193,安全座椅,12195,宝宝安全座椅,be9a92f5bee112f0,启用,普通,品牌词
电脑、办公,670,外设产品,686,线缆,1049,有线电视,71ba4a84e04257bb,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,女靴,9776,高跟靴子,1a1a96715d0b7add,启用,普通,品牌词
礼品箱包,1672,礼品,2599,电子礼品,13665,小型空调,a1691570dcdc5a74,启用,普通,品牌词
医药保健,9192,计生情趣,9196,情趣内衣,1506,女士性感内衣,cdcdcc9a34e2d049,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,面膜,1392,焕面膜,12b47c759c5765fc,启用,普通,品牌词
运动户外,1318,垂钓用品,12147,钓竿,12148,特价鱼竿,c226c299a7bdaabb,启用,普通,品牌词
汽车用品,6728,维修保养,6742,变速箱油/滤,13992,变速箱,0b4591d8a447cdbc,启用,普通,品牌词
服饰内衣,1315,女装,1343,打底裤,9716,打底裤裙,c1df8787191b1a51,启用,普通,品牌词
医药保健,9192,计生情趣,9196,润滑液,1504,润滑剂,3857e3b97883364b,启用,普通,品牌词
家装建材,9855,墙地面材料,9860,壁纸,9932,粉色壁纸,3f9c6f1a5ab9e96d,启用,普通,品牌词
美妆个护,1316,女性护理,1385,脱毛膏,5150,男士脱毛,81431cd280e25c5c,启用,普通,品牌词
美妆个护,1316,香水彩妆,1387,美甲,1428,法式美甲,57ce604a4f6406c0,启用,普通,品牌词
珠宝首饰,6144,翡翠玉石,6167,手镯/手串,6169,缅甸翡翠,1d4afcb38304deef,启用,普通,品牌词
服饰内衣,1315,内衣,1345,女式内裤,9743,女人内裤,232528b43bd98e75,启用,普通,品牌词
服饰内衣,1315,内衣,1345,女式内裤,9743,生理期内裤,e11d9f14ae7ac434,启用,普通,品牌词
家用电器,737,大 家 电,794,家电配件,877,空调遥控器,e35ff06f4fde29b8,启用,普通,品牌词
医药保健,9192,计生情趣,9196,避孕套,1502,女用避孕套,ce871e003df0418c,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,面膜,1392,蜂蜜面膜,578fe5e4f3aef7eb,启用,普通,品牌词
手机,9987,手机配件,830,手机保护套,866,手机壳套,05b30c36a9e44f5d,启用,普通,品牌词
珠宝首饰,6144,钻石,6160,钻戒,6162,结婚钻戒,033cb8946eb6f893,启用,普通,品牌词
家用电器,737,大 家 电,794,空调,870,可移动空调,9bfdb66efbdfffd9,启用,普通,品牌词
服饰内衣,1315,女装,1343,牛仔裤,9715,女牛仔裤,fa96a6e111110b1e,启用,普通,品牌词
服饰内衣,1315,女装,1343,连衣裙,9719,碎花连衣裙,ca20dad4b138f962,启用,普通,品牌词
数码,652,智能设备,12345,智能家居,12353,无线监控,295958cce2a7e28c,启用,普通,品牌词
家装建材,9855,灯饰照明,9856,吸顶灯,9904,平板灯,0aee48d695a2b10e,启用,普通,品牌词
宠物生活,6994,洗护美容,7001,浴液,7035,猫咪沐浴露,830e15f10acb2020,启用,普通,品牌词
玩具乐器,6233,遥控/电动,6235,遥控车,6245,儿童玩具车,bb4e62ed5615f3fe,启用,普通,品牌词
美妆个护,1316,身体护理,1383,美胸,11928,美胸丰胸,123f555b5b4c6e1f,启用,普通,品牌词
母婴,1319,妈妈专区,4997,防辐射服,4999,孕妇服,a95aecd1004104e5,启用,普通,品牌词
手机,9987,运营商,6880,合约机,6881,合约机,dbca39cd1bc5983f,启用,普通,品牌词
电脑、办公,670,网络产品,699,网络盒子,11304,游戏盒,d115118d57c18049,启用,普通,品牌词
医药保健,9192,中西药品,12632,补肾壮阳,12634,壮阳补肾,64d297348436dd4b,启用,普通,品牌词
手机,9987,手机通讯,653,手机,655,手机数码,524fbc9bf16c77bb,启用,普通,品牌词
